Title:,"Time Series, Area-Averaged of UV Aerosol Index daily 1 (daily)"
2024-05-29,0.716364145
2024-05-30,0.432957709
2024-05-31,0.57728678
2024-06-01,0.606727242
2024-06-02,0.386501223
2024-06-03,0.493692309
2024-06-04,0.374828994
2024-06-05,0.653277159
2024-06-06,0.249353036
2024-06-07,0.35274002
2024-06-08,0.364412725
2024-06-09,0.337984204
2024-06-10,0.348976433
2024-06-11,0.154854611
2024-06-12,0.338716626
2024-06-13,0.304420412
2024-06-14,0.322423667
2024-06-15,0.361411303
2024-06-16,0.290206403
2024-06-17,0.288312793
2024-06-18,0.203446805
2024-06-19,0.388748169
2024-06-20,0.0665496588
2024-06-21,0.36753422
2024-06-22,0.163155481
2024-06-23,0.073631227
2024-06-24,0.00604581228
2024-06-25,0.0507808886
2024-06-26,0.0930746496
2024-06-27,0.0200203545
2024-06-28,0.105505683
2024-06-29,0.221901596
2024-06-30,0.130510747
2024-07-01,0.17813158
2024-07-02,0.170320973
2024-07-03,0.311568469
2024-07-04,0.273645103
2024-07-05,0.166981921
2024-07-06,0.211926609
2024-07-07,0.444402307
2024-07-08,0.224171996
2024-07-09,0.106781267
2024-07-10,0.190138504
2024-07-11,0.215845987
2024-07-12,0.293564677
2024-07-13,0.239691123
2024-07-14,0.361866415
2024-07-15,0.17306532
2024-07-16,0.200235978
2024-07-17,0.142194733
2024-07-18,0.116231337
2024-07-19,0.141880482
2024-07-20,0.0492581911
2024-07-21,0.180924535
2024-07-22,0.112446867
2024-07-23,0.188138276
2024-07-24,0.104161881
2024-07-25,0.217897162
2024-07-26,0.172129571
2024-07-27,0.0975618213
2024-07-28,0.2957322
2024-07-29,0.115025699
2024-07-30,0.0394624732
2024-07-31,0.0998560414
2024-08-01,0.109932773
2024-08-02,0.0921120569
2024-08-03,0.075619705
2024-08-04,0.204584375
2024-08-05,0.478491873
2024-08-06,0.313499421
2024-08-07,0.244283006
2024-08-08,0.240943909
2024-08-09,0.30116266
2024-08-10,0.260583192
2024-08-11,0.318901539
2024-08-12,0.37684229
2024-08-13,0.235362008
2024-08-14,0.11409305
2024-08-15,0.205656663
2024-08-16,0.0945140868
2024-08-17,0.127388284
2024-08-18,0.0739038885
2024-08-19,-0.0327623114
2024-08-20,0.212576449
2024-08-21,-0.0173420496
2024-08-22,0.199522913
2024-08-23,0.158461839
2024-08-24,0.0245539434
2024-08-25,0.246846139
2024-08-26,0.105050802
2024-08-27,0.217185363
2024-08-28,0.083911702
2024-08-29,0.114734329
2024-08-30,0.27286002
2024-08-31,0.138915688
2024-09-01,0.112939201
2024-09-02,0.167050824
2024-09-03,0.0436207242
2024-09-04,0.23935765
2024-09-05,0.203506678
2024-09-06,0.337368995
2024-09-07,0.0657107458
2024-09-08,0.21701777
2024-09-09,0.113134056
2024-09-10,0.177551255
2024-09-11,0.189116433
2024-09-12,0.107736886
2024-09-13,0.369257897
2024-09-14,0.11762277
2024-09-15,0.268813163
2024-09-16,0.270767748
2024-09-17,0.161743268
2024-09-18,0.328066617
2024-09-19,0.189391956
2024-09-20,0.242144793
2024-09-21,0.0976215899
2024-09-22,0.0510132015
2024-09-23,0.182709485
2024-09-24,-0.0462258868
2024-09-25,0.196399331
2024-09-26,-0.0184270125
2024-09-27,0.117166169
2024-09-28,0.200342387
2024-09-29,0.190538958
2024-09-30,0.274958134
2024-10-01,0.209298968
2024-10-02,0.369155675
2024-10-03,0.26582098
2024-10-04,0.254865706
2024-10-05,0.364483982
2024-10-06,0.0439159274
2024-10-07,0.273296028
2024-10-08,0.162131459
2024-10-09,0.0749247596
2024-10-10,0.153810069
2024-10-11,0.0861038938
2024-10-12,0.309272498
2024-10-13,0.0199297275
2024-10-14,0.226297736
2024-10-15,0.163524508
2024-10-16,0.0139638344
2024-10-17,0.371221364
2024-10-18,0.110793345
2024-10-19,0.387149841
2024-10-20,0.220644459
2024-10-21,0.0962964445
2024-10-22,0.518008709
2024-10-23,0.0732108951
2024-10-24,0.427301615
2024-10-25,0.396785915
2024-10-26,0.359059036
2024-10-27,0.729929984
2024-10-28,0.440305293
2024-10-29,0.537493706
2024-10-30,0.489850372
2024-10-31,0.54064852
2024-11-01,0.705264807
2024-11-02,0.388567567
2024-11-03,0.838978171
2024-11-04,0.527166665
2024-11-05,0.6070292
2024-11-06,0.80254668
2024-11-07,0.35308516
2024-11-08,0.801255047
2024-11-09,0.456751972
2024-11-10,0.746285558
2024-11-11,0.747678578
2024-11-12,0.580311418
2024-11-13,0.688840151
2024-11-14,0.373771667
2024-11-15,0.7785061
2024-11-16,0.603272855
2024-11-17,0.669683516
2024-11-18,0.772260785
2024-11-19,0.379893154
2024-11-20,0.911176801
2024-11-21,0.718390584
2024-11-22,0.87277925
2024-11-23,0.754460931
2024-11-24,0.746535301
2024-11-25,0.815826893
2024-11-26,0.463491797
2024-11-27,0.937382221
2024-11-28,0.489664227
2024-11-29,0.580141842
2024-11-30,0.580139458
2024-12-01,0.37968275
2024-12-02,0.572085917
2024-12-03,0.501110852
2024-12-04,0.615404844
2024-12-05,0.409188122
2024-12-06,0.430158734
2024-12-07,0.601660311
2024-12-08,0.480649889
2024-12-09,0.598727882
2024-12-10,0.356899709
2024-12-11,0.544052899
2024-12-12,0.560223222
2024-12-13,0.449999511
2024-12-14,0.498169392
2024-12-15,0.472016811
2024-12-16,0.496509463
2024-12-17,0.0404932909
2024-12-18,0.265336007
2024-12-19,0.611315548
2024-12-20,0.604425788
2024-12-21,0.476469964
2024-12-22,0.683803439
2024-12-23,0.567403316
2024-12-24,0.58423686
2024-12-25,0.827675462
2024-12-26,0.636523783
2024-12-27,0.437538803
2024-12-28,0.430681258
2024-12-29,0.419196606
2024-12-30,0.406530559
2024-12-31,0.382041901
2025-01-01,0.7412498
2025-01-02,0.505575716
2025-01-03,0.241937533
2025-01-04,0.16009517
2025-01-05,0.349035829
2025-01-06,0.531330526
2025-01-07,0.564142168
2025-01-08,0.336773962
2025-01-09,0.282292664
2025-01-10,0.432324797
2025-01-11,0.534602225
2025-01-12,0.454514265
2025-01-13,0.425793439
2025-01-14,0.297925413
2025-01-15,0.473195344
2025-01-16,0.366901785
2025-01-17,0.344322741
2025-01-18,0.423915118
2025-01-19,0.410507739
2025-01-20,0.362181932
2025-01-21,0.333349794
2025-01-22,0.401817352
2025-01-23,0.329928249
2025-01-24,0.575265944
2025-01-25,0.186162248
2025-01-26,0.227423519
2025-01-27,0.292440355
2025-01-28,0.105900809
2025-01-29,0.46479708
2025-01-30,0.318495393
2025-01-31,0.430611521
2025-02-01,0.466621727
2025-02-02,0.256225318
2025-02-03,0.392305434
2025-02-04,0.275595903
2025-02-05,0.450698674
2025-02-06,0.237617701
2025-02-07,0.0720107108
2025-02-08,0.267966419
2025-02-09,0.248298794
2025-02-10,0.367250025
2025-02-11,0.277385622
2025-02-12,0.177405357
2025-02-13,0.214210019
2025-02-14,0.33175689
2025-02-15,0.416923434
2025-02-16,0.367891878
2025-02-17,0.292808026
2025-02-18,0.389712155
2025-02-19,0.228654236
2025-02-20,0.467100859
2025-02-21,0.357232034
2025-02-22,0.335815489
2025-02-23,0.14988409
2025-02-24,0.0832606852
2025-02-25,0.35419783
2025-02-26,0.257666975
2025-02-27,0.654936612
2025-02-28,0.291427553
2025-03-01,0.164521992
2025-03-02,0.290400296
2025-03-03,0.329938442
2025-03-04,0.417093158
2025-03-05,0.138644025
2025-03-06,0.271934062
2025-03-07,0.302428603
2025-03-08,0.300544232
2025-03-09,0.531594217
2025-03-10,0.384024411
2025-03-11,0.30001092
2025-03-12,0.311628401
2025-03-13,0.220502108
2025-03-14,0.626972437
2025-03-15,0.404904366
2025-03-16,0.336963892
2025-03-17,0.419205725
2025-03-18,0.173016265
2025-03-19,0.494032532
2025-03-20,0.231380105
2025-03-21,0.167346999
2025-03-22,0.160701841
2025-03-23,0.0440425128
2025-03-24,0.313894838
2025-03-25,0.334434777
2025-03-26,0.472496927
2025-03-27,0.587835908
2025-03-28,0.415560842
2025-03-29,0.612115443
2025-03-30,0.638979495
2025-03-31,0.603748918
2025-04-01,0.617167711
2025-04-02,0.443557173
2025-04-03,0.446477205
2025-04-04,0.20788759
2025-04-05,0.474994689
2025-04-06,0.349468082
2025-04-07,0.341578543
2025-04-08,0.647252977
2025-04-09,0.373186648
2025-04-10,0.402069032
2025-04-11,0.475613505
2025-04-12,0.283002406
2025-04-13,0.413816482
2025-04-14,0.201240242
2025-04-15,0.271544129
2025-04-16,0.310661972
2025-04-17,0.161454946
2025-04-18,0.542176664
2025-04-19,0.363228172
2025-04-20,0.540191054
2025-04-21,0.568087757
2025-04-22,0.447457552
2025-04-23,0.489458233
2025-04-24,0.434781879
2025-04-25,0.762571037
2025-04-26,0.534641922
2025-04-27,0.318132341
2025-04-28,0.491590321
2025-04-29,0.403692126
2025-04-30,0.583603799
2025-05-01,0.30680716
2025-05-02,0.27983427
2025-05-03,0.542663634
2025-05-04,0.294955164
2025-05-05,0.415791154
2025-05-06,0.114421368
2025-05-07,0.0732654929
2025-05-08,0.11901889
2025-05-09,0.00171338965
2025-05-10,0.0537396334
2025-05-11,-0.0292993989
2025-05-12,0.145979539
2025-05-13,0.0729327053
2025-05-14,-0.0042319363
2025-05-15,0.357980072
2025-05-16,-0.0528903119
2025-05-17,0.391352624
2025-05-18,0.164403498
2025-05-19,0.0835369378
2025-05-20,0.418788105
2025-05-21,0.122846745
2025-05-22,0.357172847
2025-05-23,0.192709416
2025-05-24,0.080500789
2025-05-25,0.105644427
2025-05-26,0.201617151
2025-05-27,0.149464369
2025-05-28,0.17035912
2025-05-29,0.464711994
2025-05-30,0.368243515
2025-05-31,0.510001719
2025-06-01,0.745505869
2025-06-02,0.410237163
2025-06-03,0.382332712
2025-06-04,0.175950378
2025-06-05,0.438441992
2025-06-06,0.24745734
2025-06-07,0.41414085
2025-06-08,0.344031185
2025-06-09,0.620145142
2025-06-10,0.455037624
2025-06-11,0.57652384
2025-06-12,0.32767272
2025-06-13,0.189493671
2025-06-14,0.0827633888
2025-06-15,0.109859854
2025-06-16,-0.0191374477
2025-06-17,0.0280213431
2025-06-18,0.203692779
2025-06-19,0.220417485
2025-06-20,0.151302174
2025-06-21,0.289967775
2025-06-22,0.109089494
2025-06-23,-0.0451005958
2025-06-24,0.116033472
2025-06-25,0.0201869793
2025-06-26,0.103960171
2025-06-27,0.105825186
2025-06-28,0.0445813052
2025-06-29,0.0743661672
2025-06-30,0.149377599
2025-07-01,0.168674469
2025-07-02,0.167298391
2025-07-03,-0.00184517959
2025-07-04,0.169988409
2025-07-05,0.140528351
2025-07-06,0.272835493
2025-07-07,0.154132575
2025-07-08,0.103057988
2025-07-09,0.190364793
2025-07-10,0.280539989
2025-07-11,0.184487626
2025-07-12,0.222515911
2025-07-13,0.184469402
2025-07-14,0.122214064
2025-07-15,0.372921288
2025-07-16,0.13626495
2025-07-17,0.133788839
2025-07-18,0.104799643
2025-07-19,0.14755857
2025-07-20,0.152743399
2025-07-21,0.178051561
2025-07-22,0.0508743711
2025-07-23,0.0501892157
2025-07-24,0.114994012
2025-07-25,0.32273519
2025-07-26,0.114913724
2025-07-27,0.250410974
2025-07-28,0.279826701
2025-07-29,0.275024325
2025-07-30,0.321453422
2025-07-31,0.414204389
2025-08-01,0.55538547
2025-08-02,0.410974413
2025-08-03,0.122466035
2025-08-04,0.28870669
2025-08-05,0.230056673
2025-08-06,0.302073479
2025-08-07,0.228108764
2025-08-08,0.0419601202
2025-08-09,0.0543574467
2025-08-10,0.0818231702
2025-08-11,-0.00368331955
2025-08-12,-0.029096866
2025-08-13,0.0214494374
2025-08-14,-0.0211541057
2025-08-15,0.0514613688
2025-08-16,-0.0587124787
2025-08-17,-0.0703309923
2025-08-18,-0.0795946196
2025-08-19,-0.0103300307
2025-08-20,-0.0281456821
2025-08-21,0.0395336263
2025-08-22,0.278051704
2025-08-23,-0.0698417872
2025-08-24,0.0984704792
2025-08-25,0.0717770681
2025-08-26,0.234517023
2025-08-27,0.0467762388
2025-08-28,0.0544534512
2025-08-29,0.0561533198
2025-08-30,0.0449552462
2025-08-31,0.115075916
2025-09-01,0.147703901
2025-09-02,0.163081959
2025-09-03,0.239786029
2025-09-04,0.0840145424
2025-09-05,0.0823298395
2025-09-06,0.0172802284
2025-09-07,0.0130917067
2025-09-08,-0.03716328
2025-09-09,-0.0334063061
2025-09-10,-0.0250288676
2025-09-11,0.0700701699
2025-09-12,-0.114451788
2025-09-13,-0.0766289756
2025-09-14,-0.0547250099
2025-09-15,-0.0919281989
2025-09-16,0.0561012216
2025-09-17,-0.0215260964
2025-09-18,0.0421829447
2025-09-19,0.0815525874
2025-09-20,0.00739688333
2025-09-21,0.282771677
2025-09-22,0.0366362818
2025-09-23,0.16799888
2025-09-24,0.256444037
2025-09-25,0.0432750285
2025-09-26,0.245571911
2025-09-27,0.0958767012
2025-09-28,0.0299389344
2025-09-29,0.140776068
2025-09-30,-0.035559997
2025-10-01,0.0946729258
